city,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
port blair,11.6667,92.75,301.68,66,24,5.86,IN,1612680651
provideniya,64.3833,-173.3,253.83,85,0,4.34,RU,1612680651
asfi,32.2994,-9.2372,286.5,71,3,3.24,MA,1612680414
chapleau,47.8405,-83.4034,253.49,92,99,1.65,CA,1612680652
itaituba,-4.2761,-55.9836,296.71,95,100,0.51,BR,1612680537
boyuibe,-20.4167,-63.2833,291.18,63,81,0.84,BO,1612680652
hambantota,6.1241,81.1185,304.15,74,20,6.17,LK,1612680652
half moon bay,37.4636,-122.4286,284.26,71,1,0.82,US,1612680713
pevek,69.7008,170.3133,250.19,86,0,1.84,RU,1612680713
marco,25.9726,-81.729,296.48,94,20,4.63,US,1612680713
almonte,37.2647,-6.5167,284.15,87,40,1.03,ES,1612680714
muros,42.7762,-9.0603,281.48,93,75,3.09,ES,1612680549
houston,29.7633,-95.3633,285.37,66,1,7.72,US,1612680709
cibeureum,-7.3552,108.2693,300.1,78,75,0.93,ID,1612680714
leningradskiy,69.3833,178.4167,248.98,72,20,1.41,RU,1612680715
kindu,-2.95,25.95,297.43,82,87,0.9,CD,1612680715
erzin,36.9559,36.2,284.15,87,20,2.57,TR,1612680715
gallup,35.5281,-108.7426,273.71,50,1,3.6,US,1612680715
ransang,8.9603,117.5828,302.42,67,97,2.89,PH,1612680715
petkovci,44.4531,19.0761,278.15,70,0,2.06,BA,1612680604
bengkulu,-3.8004,102.2655,303.63,60,100,5.59,ID,1612680716
thinadhoo,0.5333,72.9333,301.02,75,56,6.5,MV,1612680716
urumqi,43.801,87.6005,263.15,92,20,1.0,CN,1612680616
bereda,43.2686,-7.5406,275.37,100,100,1.79,ES,1612680716
chicomuselo,15.7667,-92.2667,292.11,67,0,0.89,MX,1612680717
christchurch,-43.5333,172.6333,291.15,72,20,10.29,NZ,1612680717
kidal,18.4411,1.4078,291.52,24,100,0.37,ML,1612680717
sioux lookout,50.1001,-91.917,244.15,63,90,6.17,CA,1612680482
farafangana,-22.8167,47.8333,303.22,66,73,4.97,MG,1612680545
carnarvon,-24.8667,113.6333,303.15,100,40,4.63,AU,1612680718
killarney,52.05,-9.5167,275.21,91,95,2.3,IE,1612680718
khash,28.2211,61.2158,291.22,23,0,2.8,IR,1612680718
lompoc,34.6391,-120.4579,284.26,93,90,2.06,US,1612680718
diego de almagro,-26.3667,-70.05,285.21,63,38,0.44,CL,1612680718
sampit,-2.5333,112.95,305.23,64,88,0.76,ID,1612680719
bozeman,45.6796,-111.0386,262.04,85,90,6.17,US,1612680684
badiraguato,25.3667,-107.5167,284.82,87,54,1.5,MX,1612680719
codrington,-38.2667,141.9667,288.93,66,17,6.9,AU,1612680719
bahia blanca,-38.7196,-62.2724,289.09,74,0,6.94,AR,1612680720
amapa,1.0,-52.0,295.14,98,34,0.16,BR,1612680720
laoag,18.1989,120.5936,304.15,70,75,5.14,PH,1612680720
cayenne,4.9333,-52.3333,298.15,100,90,2.06,GF,1612680720
gorno-altaysk,51.9561,85.955,274.86,85,100,3.23,RU,1612680608
caravelas,-17.7125,-39.2481,298.05,87,100,3.68,BR,1612680721
sangmelima,2.9333,11.9833,295.46,86,48,1.36,CM,1612680721
san quintin,30.4833,-115.95,287.86,74,0,3.11,MX,1612680721
cabedelo,-6.9811,-34.8339,297.15,94,20,2.06,BR,1612680515
auki,-8.7676,160.7034,297.84,91,100,2.76,SB,1612680722
coihaique,-45.5752,-72.0662,282.43,80,8,2.04,CL,1612680502
mandera,3.9366,41.867,301.62,46,0,5.12,KE,1612680608
praia,14.9215,-23.5087,293.15,64,75,7.2,CV,1612680722
melilla,35.2937,-2.9383,284.15,58,20,4.52,ES,1612680723
jibuti,11.5,42.5,299.15,69,75,2.06,DJ,1612680723
porto novo,6.4965,2.6036,300.15,94,40,1.54,BJ,1612680670
dumai,1.6833,101.45,305.97,51,40,1.86,ID,1612680723
isangel,-19.55,169.2667,303.15,70,75,2.57,VU,1612680723
lasa,46.6166,10.7002,277.15,100,90,2.06,IT,1612680724
placido de castro,-10.3353,-67.1856,295.4,95,99,0.63,BR,1612680784
saint-pierre,-21.3393,55.4781,304.15,62,0,4.63,RE,1612680784
katsuura,35.1333,140.3,289.26,47,0,5.14,JP,1612680784
bandarban,22.1965,92.2262,301.83,25,0,3.31,BD,1612680784
bulungu,-4.55,18.6,298.98,76,75,0.75,CD,1612680785
cairns,-16.9167,145.7667,303.15,79,90,2.57,AU,1612680501
carlsbad,33.1581,-117.3506,285.93,93,90,0.81,US,1612680785
atar,20.5169,-13.0499,284.07,58,0,4.32,MR,1612680785
padang,-0.9492,100.3543,305.15,58,20,4.12,ID,1612680785
buenos aires,-34.6132,-58.3772,295.93,94,75,5.14,AR,1612680231
prince albert,53.2001,-105.7677,235.15,74,1,1.54,CA,1612680786
namatanai,-3.6667,152.4333,302.15,72,50,3.57,PG,1612680786
ilebo,-4.3167,20.5833,297.38,80,100,0.78,CD,1612680786
tubuala,9.5167,-79.0333,296.15,94,20,5.07,PA,1612680786
plettenberg bay,-34.0527,23.3716,295.63,68,0,4.04,ZA,1612680580
inuvik,68.3499,-133.7218,249.15,84,100,3.6,CA,1612680786
mecca,21.4267,39.8261,296.1,34,0,3.95,SA,1612680787
kirakira,-10.4544,161.9205,300.01,82,100,3.77,SB,1612680584
erenhot,43.6475,111.9767,266.05,92,0,4.23,CN,1612680787
hualmay,-11.0964,-77.6139,294.84,74,100,2.68,PE,1612680787
valle de allende,26.9333,-105.4,283.55,39,0,2.79,MX,1612680787
kaitangata,-46.2817,169.8464,291.48,78,0,2.68,NZ,1612680787
irtyshskiy,58.3333,68.1333,267.98,96,100,8.32,RU,1612680787
saint-jerome,45.7804,-74.0036,261.15,72,20,1.54,CA,1612680787
galesong,-5.3166,119.3661,304.15,66,20,4.63,ID,1612680603
belaya gora,68.5333,146.4167,237.62,84,0,0.57,RU,1612680788
tayshet,55.9342,98.0044,273.24,95,76,1.91,RU,1612680788
port hedland,-20.3167,118.5667,306.15,52,0,7.2,AU,1612680788
astana,51.1801,71.446,263.15,79,75,13.0,KZ,1612680731
qaqortoq,60.7167,-46.0333,279.15,33,75,10.8,GL,1612680788
biga,40.2281,27.2422,288.15,87,0,2.06,TR,1612680788
orange cove,36.6244,-119.3137,282.04,100,1,1.54,US,1612680788
raga,8.4596,25.678,292.65,26,0,3.53,SS,1612680789
georgetown,5.4112,100.3354,308.15,43,20,3.09,MY,1612680789
southbridge,42.0751,-72.0334,270.37,29,100,1.0,US,1612680789
kyren,51.6828,102.1408,268.7,88,1,0.65,RU,1612680789
fukue,32.6881,128.8419,288.15,55,20,4.12,JP,1612680789
sibolga,1.7427,98.7792,303.99,58,62,2.28,ID,1612680789
asau,46.4333,26.4,270.37,74,97,1.58,RO,1612680573
birjand,32.8663,59.2211,287.15,11,0,2.88,IR,1612680782
yarke pole,45.608,34.3172,272.74,87,100,3.7,UA,1612680790
baykit,61.67,96.37,269.12,95,100,2.41,RU,1612680790
meadow lake,34.8014,-106.5436,274.82,25,1,2.06,US,1612680790
mari-turek,56.7895,49.6235,253.36,90,100,6.35,RU,1612680790
qasigiannguit,68.8193,-51.1922,271.15,40,0,11.32,GL,1612680790
bamnet narong,15.4992,101.6897,306.58,28,0,3.42,TH,1612680791
samagaltay,50.6022,95.0047,261.92,90,0,2.63,RU,1612680791
ancud,-41.8697,-73.8203,285.37,71,0,2.06,CL,1612680791
pailon,-17.65,-62.75,295.15,94,94,2.06,BO,1612680791
iqaluit,63.7506,-68.5145,269.15,68,75,1.54,CA,1612680792
ust-kuyga,70.0167,135.6,239.32,82,75,1.99,RU,1612680852
kiruna,67.8557,20.2251,266.15,86,90,2.57,SE,1612680852
chacabuco,-34.6417,-60.4739,289.26,89,0,3.1,AR,1612680852
palestine,31.9216,35.2033,288.15,77,0,1.54,PS,1612680774
zyryanka,65.75,150.85,247.5,85,100,1.61,RU,1612680846
honiara,-9.4333,159.95,299.59,86,100,3.12,SB,1612680761
nuuk,64.1835,-51.7216,276.15,41,1,12.35,GL,1612680556
suzzara,44.9919,10.7431,282.59,94,100,0.45,IT,1612680853
sechura,-5.5569,-80.8222,296.9,68,85,4.47,PE,1612680854
nueve de julio,-35.4444,-60.8831,290.93,63,0,1.34,AR,1612680854
henties bay,-22.116,14.2845,290.93,89,100,1.34,NA,1612680851
zhigansk,66.7697,123.3711,238.32,82,100,7.17,RU,1612680854
